cliente_id,cliente_externo_id,nombre,sitio_web_id,fecha_registro,codigo_cliente,tipo_cliente,segmento,email,telefono,activo
1,12,Lucía Susana Chávez León,1,2025-10-05 04:19:11,CLI-000012,B2B,Regular,,,True
2,15,Verónica Elena Miranda Alvarado de Medina,1,2025-10-05 04:19:11,CLI-000015,B2B,Regular,,,True
3,40,Claudia Fátima Guerrero Rodríguez de Jiménez,1,2025-10-05 04:19:11,CLI-000040,B2B,Regular,,,True
4,43,Rocío Elizabeth Pacheco Delgado de Figueroa,1,2025-10-05 04:19:11,CLI-000043,B2B,Regular,,,True
5,61,Claudia Fátima Guerrero Romero,1,2025-10-05 04:19:11,CLI-000061,B2B,Regular,,,True
6,105,Margarita Guadalupe Hernández Rodríguez de León,1,2025-10-05 04:19:11,CLI-000105,B2B,Regular,,,True
7,108,Benjamín Emilio Molina Serrano,1,2025-10-05 04:19:11,CLI-000108,B2B,Regular,,,True
8,193,Verónica Fátima Vargas Medina de Flores,1,2025-10-05 04:19:11,CLI-000193,B2B,Regular,,,True
9,202,Rodrigo Gerardo Jiménez Vargas,1,2025-10-05 04:19:11,CLI-000202,B2B,Regular,,,True
10,220,Oscar Ernesto Rodríguez Ortiz,1,2025-10-05 04:19:11,CLI-000220,B2B,Regular,,,True
11,223,Luz Elena Sánchez Peña de Moreno,1,2025-10-05 04:19:11,CLI-000223,B2B,Regular,,,True
12,280,Carolina Cecilia Rodríguez Sánchez de Carrillo,1,2025-10-05 04:19:11,CLI-000280,B2B,Regular,,,True
13,282,Rosa Olga Serrano Delgado,1,2025-10-05 04:19:11,CLI-000282,B2B,Regular,,,True
14,290,Beatriz Liliana Cabrera Salazar de Alvarado,1,2025-10-05 04:19:11,CLI-000290,B2B,Regular,,,True
15,317,Antonio Emilio Hernández Aguilar,1,2025-10-05 04:19:11,CLI-000317,B2B,Regular,,,True
16,320,Margarita Guadalupe Ortiz Ramos de Figueroa,1,2025-10-05 04:19:11,CLI-000320,B2B,Regular,,,True
17,357,Carmen Sofía Acosta Delgado de Soto,1,2025-10-05 04:19:11,CLI-000357,B2B,Regular,,,True
18,366,Enrique Ignacio Jiménez Hernández,1,2025-10-05 04:19:11,CLI-000366,B2B,Regular,,,True
19,383,Fernanda Sofía Vásquez Rivera de Montes,1,2025-10-05 04:19:11,CLI-000383,B2B,Regular,,,True
20,395,Carmen Fátima Hernández Pacheco de Silva,1,2025-10-05 04:19:11,CLI-000395,B2B,Regular,,,True
21,399,Norma Josefina Delgado Soto de Medina,1,2025-10-05 04:19:11,CLI-000399,B2B,Regular,,,True
22,418,Roberto Arturo Morales Aguilar,1,2025-10-05 04:19:11,CLI-000418,B2B,Regular,,,True
23,534,Sandra Miriam Vásquez Molina,1,2025-10-05 04:19:11,CLI-000534,B2B,Regular,,,True
24,538,Margarita Fabiola Valencia Torres de Navarro,1,2025-10-05 04:19:11,CLI-000538,B2B,Regular,,,True
25,559,Gloria Sofía Sánchez Rivera,1,2025-10-05 04:19:11,CLI-000559,B2B,Regular,,,True
26,562,Mario Salvador Moreno González,1,2025-10-05 04:19:11,CLI-000562,B2B,Regular,,,True
27,577,Mario Enrique Salazar Montes,1,2025-10-05 04:19:11,CLI-000577,B2B,Regular,,,True
28,580,Marta Raquel Pérez López,1,2025-10-05 04:19:11,CLI-000580,B2B,Regular,,,True
29,599,Norma Josefina Vargas Serrano,1,2025-10-05 04:19:11,CLI-000599,B2B,Regular,,,True
30,620,Norma Cristina Peña Medina de Díaz,1,2025-10-05 04:19:11,CLI-000620,B2B,Regular,,,True
31,627,Manuel Fernando Acosta Fuentes,1,2025-10-05 04:19:11,CLI-000627,B2B,Regular,,,True
32,669,Margarita Miriam Carrillo García de Chávez,1,2025-10-05 04:19:11,CLI-000669,B2B,Regular,,,True
33,701,Eduardo Alejandro Ortiz Pérez,1,2025-10-05 04:19:11,CLI-000701,B2B,Regular,,,True
34,718,Guillermo Ramón Gutiérrez Peña,1,2025-10-05 04:19:11,CLI-000718,B2B,Regular,,,True
35,816,Miguel Ernesto Carrillo Vega,1,2025-10-05 04:19:11,CLI-000816,B2B,Regular,,,True
36,818,Andrea Susana Gómez Benítez de Moreno,1,2025-10-05 04:19:11,CLI-000818,B2B,Regular,,,True
37,863,Elena Carmen Ramírez Ortiz de Benítez,1,2025-10-05 04:19:11,CLI-000863,B2B,Regular,,,True
38,865,Carlos Francisco Martínez Navarro,1,2025-10-05 04:19:11,CLI-000865,B2B,Regular,,,True
39,885,Verónica Elizabeth Pacheco Romero de Figueroa,1,2025-10-05 04:19:11,CLI-000885,B2B,Regular,,,True
40,895,Francisco Emilio Díaz Valencia,1,2025-10-05 04:19:11,CLI-000895,B2B,Regular,,,True
41,898,Irma Natalia Medina Jiménez,1,2025-10-05 04:19:11,CLI-000898,B2B,Regular,,,True
42,918,Víctor Emilio Carrillo Rodríguez,1,2025-10-05 04:19:11,CLI-000918,B2B,Regular,,,True
43,932,Gloria Raquel Peña Martínez de Campos,1,2025-10-05 04:19:11,CLI-000932,B2B,Regular,,,True
44,933,Carmen Elizabeth Núñez Aguilar de Cruz,1,2025-10-05 04:19:11,CLI-000933,B2B,Regular,,,True
45,944,Teresa Fabiola Sánchez Ríos de Vega,1,2025-10-05 04:19:11,CLI-000944,B2B,Regular,,,True
46,968,Lucía Fátima Fuentes Herrera,1,2025-10-05 04:19:11,CLI-000968,B2B,Regular,,,True
47,973,Pedro Jorge Serrano Ortiz,1,2025-10-05 04:19:11,CLI-000973,B2B,Regular,,,True
